case_id,par,relacion,detectada,anotada,razon,proposicion_a,proposicion_b
CASE-MX-001,CASE-MX-001-P1 <-> CASE-MX-001-P2,COMPATIBLE_WITH,False,False,"Ambas ocurren en el mismo caso, pero en momentos distintos y hablan de cosas distintas.",La víctima salió de su domicilio para encontrarse con la persona acusada.,La persona acusada ingresó a la habitación del hotel.
CASE-MX-001,CASE-MX-001-P1 <-> CASE-MX-001-P3,SUPPORTS,False,False,La víctima salió de su domicilio para encontrarse con la persona acusada es evidencia de que la persona acusada estaba en el lugar donde se produjo el hecho.,La víctima salió de su domicilio para encontrarse con la persona acusada.,La persona acusada asfixió a la víctima.
CASE-MX-001,CASE-MX-001-P1 <-> CASE-MX-001-P4,SUPPORTS,False,False,"La madre de la víctima denunció la desaparición de la víctima, lo cual hace más creíble la afirmación de que la víctima salió de su domicilio para encontrarse con la persona acusada.",La víctima salió de su domicilio para encontrarse con la persona acusada.,La madre de la víctima denunció la desaparición de la víctima.
CASE-MX-001,CASE-MX-001-P1 <-> CASE-MX-001-P5,SUPPORTS,False,False,La confesión de la persona acusada hace más creíble la versión de la víctima sobre su encuentro con ella.,La víctima salió de su domicilio para encontrarse con la persona acusada.,La persona acusada confesó ante la policía su participación en el homicidio.
CASE-MX-001,CASE-MX-001-P1 <-> CASE-MX-001-P6,SUPPORTS,False,False,"La confesión policial de la persona acusada, que no contó con asistencia de defensa, es prueba de que la víctima salió de su domicilio para encontrarse con la persona acusada.",La víctima salió de su domicilio para encontrarse con la persona acusada.,La persona acusada no contó con asistencia de defensa durante la confesión policial ante una persona defensora.
CASE-MX-001,CASE-MX-001-P1 <-> CASE-MX-001-P7,SUPPORTS,False,False,"La víctima salió de su domicilio para encontrarse con la persona acusada, lo cual es una prueba de que la persona acusada alegó actos de tortura.",La víctima salió de su domicilio para encontrarse con la persona acusada.,La persona acusada alegó actos de tortura.
CASE-MX-001,CASE-MX-001-P1 <-> CASE-MX-001-P8,SUPPORTS,False,False,"La víctima salió de su domicilio para encontrarse con la persona acusada, lo cual puede hacer más creíble la negativa del tribunal a otorgar el amparo.",La víctima salió de su domicilio para encontrarse con la persona acusada.,El tribunal negó el amparo.
CASE-MX-001,CASE-MX-001-P2 <-> CASE-MX-001-P3,SUPPORTS,False,False,La persona acusada asfixió a la víctima es evidencia de que la persona acusada ingresó a la habitación del hotel.,La persona acusada ingresó a la habitación del hotel.,La persona acusada asfixió a la víctima.
CASE-MX-001,CASE-MX-001-P2 <-> CASE-MX-001-P4,COMPATIBLE_WITH,False,False,"Ambas son hechos que ocurren en el mismo caso, pero en momentos distintos y hablan de cosas distintas.",La persona acusada ingresó a la habitación del hotel.,La madre de la víctima denunció la desaparición de la víctima.
CASE-MX-001,CASE-MX-001-P2 <-> CASE-MX-001-P5,SUPPORTS,False,False,La confesión de la persona acusada ante la policía es evidencia de que ingresó a la habitación del hotel.,La persona acusada ingresó a la habitación del hotel.,La persona acusada confesó ante la policía su participación en el homicidio.
CASE-MX-001,CASE-MX-001-P2 <-> CASE-MX-001-P6,SUPPORTS,False,False,La confesión policial es una prueba que respalda la afirmación de que la persona acusada ingresó a la habitación del hotel.,La persona acusada ingresó a la habitación del hotel.,La persona acusada no contó con asistencia de defensa durante la confesión policial ante una persona defensora.
CASE-MX-001,CASE-MX-001-P2 <-> CASE-MX-001-P7,SUPPORTS,False,False,"La persona acusada alegó actos de tortura, lo cual hace más creíble la afirmación de que ingresó a la habitación del hotel.",La persona acusada ingresó a la habitación del hotel.,La persona acusada alegó actos de tortura.
CASE-MX-001,CASE-MX-001-P2 <-> CASE-MX-001-P8,SUPPORTS,False,False,La negación del amparo por el tribunal hace más creíble la entrada de la persona acusada en la habitación del hotel.,La persona acusada ingresó a la habitación del hotel.,El tribunal negó el amparo.
CASE-MX-001,CASE-MX-001-P3 <-> CASE-MX-001-P4,COMPATIBLE_WITH,False,False,"Ambas son hechos del mismo caso, pero ocurren en momentos distintos y hablan de cosas distintas.",La persona acusada asfixió a la víctima.,La madre de la víctima denunció la desaparición de la víctima.
CASE-MX-001,CASE-MX-001-P3 <-> CASE-MX-001-P5,SUPPORTS,False,False,La confesión de la persona acusada es evidencia de su participación en el homicidio.,La persona acusada asfixió a la víctima.,La persona acusada confesó ante la policía su participación en el homicidio.
CASE-MX-001,CASE-MX-001-P3 <-> CASE-MX-001-P6,SUPPORTS,False,False,"La confesión policial de la persona acusada, documentada en P6, respalda la afirmación de P3, ya que la ausencia de asistencia de defensa durante la confesión policial es un hecho que hace más creíble la afirmación de asfixio de la víctima.",La persona acusada asfixió a la víctima.,La persona acusada no contó con asistencia de defensa durante la confesión policial ante una persona defensora.
CASE-MX-001,CASE-MX-001-P3 <-> CASE-MX-001-P7,SUPPORTS,False,True,"La defensa claim (B) alega actos de tortura, lo cual es evidencia de que la persona acusada asfixió a la víctima (A), ya que el acto de tortura es un medio que podría haberse utilizado para asfixiar a la víctima.",La persona acusada asfixió a la víctima.,La persona acusada alegó actos de tortura.
CASE-MX-001,CASE-MX-001-P3 <-> CASE-MX-001-P8,SUPPORTS,False,False,La sentencia del tribunal (B) respalda la acusación de asfixia (A).,La persona acusada asfixió a la víctima.,El tribunal negó el amparo.
CASE-MX-001,CASE-MX-001-P4 <-> CASE-MX-001-P5,SUPPORTS,False,False,La confesión de la persona acusada es prueba de la desaparición de la víctima.,La madre de la víctima denunció la desaparición de la víctima.,La persona acusada confesó ante la policía su participación en el homicidio.
CASE-MX-001,CASE-MX-001-P4 <-> CASE-MX-001-P6,SUPPORTS,False,False,"La confesión policial de la persona acusada se basa en su derecho a la asistencia de defensa, lo cual fue negado.",La madre de la víctima denunció la desaparición de la víctima.,La persona acusada no contó con asistencia de defensa durante la confesión policial ante una persona defensora.
CASE-MX-001,CASE-MX-001-P4 <-> CASE-MX-001-P7,SUPPORTS,False,False,La denuncia de la madre de la víctima es evidencia de los actos de tortura alegados por la persona acusada.,La madre de la víctima denunció la desaparición de la víctima.,La persona acusada alegó actos de tortura.
CASE-MX-001,CASE-MX-001-P4 <-> CASE-MX-001-P8,SUPPORTS,False,False,La denuncia de la madre de la víctima es una prueba de la negativa del tribunal al amparo.,La madre de la víctima denunció la desaparición de la víctima.,El tribunal negó el amparo.
CASE-MX-001,CASE-MX-001-P5 <-> CASE-MX-001-P6,SUPPORTS,False,True,La confesión de la persona acusada (A) hace más creíble la afirmación de que no contó con asistencia de defensa durante la confesión policial (B).,La persona acusada confesó ante la policía su participación en el homicidio.,La persona acusada no contó con asistencia de defensa durante la confesión policial ante una persona defensora.
CASE-MX-001,CASE-MX-001-P5 <-> CASE-MX-001-P7,CONTRADICTS,True,False,La confesión (A) contradice la alegación de tortura (B).,La persona acusada confesó ante la policía su participación en el homicidio.,La persona acusada alegó actos de tortura.
CASE-MX-001,CASE-MX-001-P5 <-> CASE-MX-001-P8,SUPPORTS,False,False,La confesión de la persona acusada (A) hace más creíble la negativa del tribunal de amparo (B).,La persona acusada confesó ante la policía su participación en el homicidio.,El tribunal negó el amparo.
